Average of AverageDistance,Column Labels,,,,,,,,,
Row Labels,MIP_0.0_0.0_1.0,MIP_0.0_1.0_0.0,MIP_0.4_0.4_0.2,MIP_0.5_0.3_0.2,MIP_1.0_0.0_0.0,MostChangedInterval (5),MostChangedInterval (500),Random,RecentChanges,Grand Total
0,0.349555556,0.374333333,0.370111111,0.385222222,0.385222222,0.339666667,0.334111111,0.310777778,0.295666667,0.349407407
1,0.449,0.437666667,0.472666667,0.473111111,0.491777778,0.356444444,0.347333333,0.327,0.344111111,0.411012346
2,0.495111111,0.555777778,0.629333333,0.657111111,0.614222222,0.419349206,0.421666667,0.393730159,0.368904762,0.506134039
3,0.384222222,0.385888889,0.464666667,0.474888889,0.443666667,0.308111111,0.364888889,0.330777778,0.28,0.381901235
4,0.406333333,0.536888889,0.572,0.578111111,0.499777778,0.323,0.433222222,0.355222222,0.305777778,0.445592593
5,0.373222222,0.408777778,0.497,0.497777778,0.473333333,0.312666667,0.384111111,0.301619048,0.326,0.397167549
6,0.522111111,0.550888889,0.640888889,0.635888889,0.553222222,0.290222222,0.424,0.378777778,0.323666667,0.479962963
7,0.516,0.559888889,0.623777778,0.582666667,0.521222222,0.357888889,0.422666667,0.354,0.378666667,0.479641975
8,0.476666667,0.521555556,0.589444444,0.567222222,0.513222222,0.383,0.405222222,0.328904762,0.338555556,0.458199295
9,0.451777778,0.543888889,0.606666667,0.647777778,0.572888889,0.370777778,0.458888889,0.401,0.36,0.490407407
10,0.409555556,0.532333333,0.563222222,0.557222222,0.517333333,0.395888889,0.402555556,0.325888889,0.351111111,0.450567901
11,0.380444444,0.448777778,0.477555556,0.481555556,0.427,0.331222222,0.290777778,0.328777778,0.340222222,0.389592593
12,0.420666667,0.455777778,0.482111111,0.503777778,0.412666667,0.306666667,0.349,0.304444444,0.304,0.393234568
13,0.439111111,0.557,0.639111111,0.645222222,0.460777778,0.343666667,0.481666667,0.361777778,0.388111111,0.479604938
14,0.476333333,0.501777778,0.594444444,0.597777778,0.478333333,0.412555556,0.422,0.341126984,0.361444444,0.465088183
15,0.354111111,0.447111111,0.493333333,0.493777778,0.442666667,0.271111111,0.362111111,0.277222222,0.272460317,0.379322751
16,0.512,0.517666667,0.586555556,0.609888889,0.524333333,0.42568254,0.515777778,0.398111111,0.425555556,0.501730159
17,0.504444444,0.568888889,0.660666667,0.711111111,0.441777778,0.461666667,0.451666667,0.403174603,0.422,0.513932981
18,0.491666667,0.535555556,0.606666667,0.636111111,0.566666667,0.438666667,0.534222222,0.376444444,0.433333333,0.513259259
19,0.544444444,0.564444444,0.622666667,0.637222222,0.498666667,0.438333333,0.433888889,0.398333333,0.407777778,0.50508642
20,0.458555556,0.470333333,0.545555556,0.558333333,0.500555556,0.362444444,0.447222222,0.346333333,0.324111111,0.445938272
21,0.487888889,0.530555556,0.621111111,0.66,0.471777778,0.407333333,0.511666667,0.391888889,0.378222222,0.495604938
22,0.423444444,0.492222222,0.558444444,0.586666667,0.551666667,0.396111111,0.492777778,0.361444444,0.369111111,0.470209877
23,0.388222222,0.381777778,0.443,0.474111111,0.438222222,0.339777778,0.378333333,0.282555556,0.293777778,0.379975309
24,0.408222222,0.441666667,0.495555556,0.495555556,0.471111111,0.365444444,0.452222222,0.339888889,0.353,0.424740741
25,0.395666667,0.490555556,0.572777778,0.577888889,0.534,0.375111111,0.439555556,0.352777778,0.384666667,0.458111111
26,0.407111111,0.433111111,0.531444444,0.523666667,0.461555556,0.386555556,0.482111111,0.328555556,0.401444444,0.439506173
27,0.500444444,0.575555556,0.604888889,0.587555556,0.54,0.396444444,0.462777778,0.354730159,0.342777778,0.4850194
28,0.451111111,0.528777778,0.559444444,0.554444444,0.484,0.395888889,0.426888889,0.36,0.372,0.45917284
29,0.405666667,0.408,0.454222222,0.479222222,0.377333333,0.291444444,0.391111111,0.283619048,0.290888889,0.375723104
30,0.408555556,0.494666667,0.526333333,0.543555556,0.484666667,0.352888889,0.439,0.383285714,0.369666667,0.44473545
31,0.382555556,0.467,0.449222222,0.492666667,0.468333333,0.353777778,0.398888889,0.382111111,0.309666667,0.411580247
32,0.546111111,0.534444444,0.571111111,0.561111111,0.538333333,0.395777778,0.465,0.392111111,0.436777778,0.493419753
33,0.483,0.491111111,0.534,0.540666667,0.53,0.391777778,0.432333333,0.354111111,0.347333333,0.456037037
34,0.566111111,0.571111111,0.584444444,0.608888889,0.518333333,0.376222222,0.513333333,0.376,0.411222222,0.502851852
35,0.420555556,0.486666667,0.512111111,0.509444444,0.453333333,0.413111111,0.421111111,0.325777778,0.300444444,0.426950617
36,0.368111111,0.485777778,0.484777778,0.528111111,0.526857143,0.385444444,0.487444444,0.353666667,0.392888889,0.445897707
37,0.376,0.373888889,0.442777778,0.445,0.509555556,0.357666667,0.375666667,0.325666667,0.321777778,0.392
38,0.420333333,0.461555556,0.507222222,0.517777778,0.500555556,0.377555556,0.470555556,0.408174603,0.359222222,0.446994709
39,0.527333333,0.533333333,0.563333333,0.553333333,0.552222222,0.493888889,0.518888889,0.409,0.387888889,0.504358025
40,0.415555556,0.477444444,0.509333333,0.490444444,0.457444444,0.387,0.492888889,0.335444444,0.381222222,0.438530864
41,0.399111111,0.382111111,0.411,0.472111111,0.393222222,0.318888889,0.334333333,0.319809524,0.292333333,0.369213404
42,0.443333333,0.500555556,0.520555556,0.537222222,0.462222222,0.276,0.346111111,0.310111111,0.309555556,0.411740741
43,0.422444444,0.435666667,0.482777778,0.495555556,0.476666667,0.345777778,0.433444444,0.345888889,0.362555556,0.422308642
44,0.399222222,0.478888889,0.507777778,0.541111111,0.48,0.340333333,0.394444444,0.379333333,0.345,0.429567901
45,0.478444444,0.530111111,0.564555556,0.585666667,0.532222222,0.478,0.475666667,0.371777778,0.394555556,0.490111111
46,0.430777778,0.509444444,0.536,0.533777778,0.464444444,0.442222222,0.497888889,0.356666667,0.379555556,0.461197531
47,0.44,0.458888889,0.493333333,0.492777778,0.501111111,0.397777778,0.496666667,0.380285714,0.384666667,0.449500882
48,0.480777778,0.512333333,0.547333333,0.555111111,0.537222222,0.494888889,0.532333333,0.399,0.403666667,0.495851852
49,0.448222222,0.530444444,0.557666667,0.571,0.542,0.416555556,0.496,0.338460317,0.408793651,0.478793651
50,0.387555556,0.451222222,0.489111111,0.488222222,0.503888889,0.378666667,0.411666667,0.381015873,0.368666667,0.428890653
51,0.394333333,0.428555556,0.477,0.471333333,0.429444444,0.353888889,0.449888889,0.305063492,0.299666667,0.4010194
52,0.415190476,0.461444444,0.498111111,0.519222222,0.523888889,0.404555556,0.475111111,0.387063492,0.393111111,0.453077601
53,0.37552381,0.499555556,0.495222222,0.496333333,0.448444444,0.361555556,0.409555556,0.364666667,0.417888889,0.42986067
54,0.288555556,0.457222222,0.462111111,0.463222222,0.467222222,0.34,0.344555556,0.338888889,0.297222222,0.384333333
55,0.419777778,0.531111111,0.522222222,0.55,0.537777778,0.390888889,0.460555556,0.427,0.395555556,0.47054321
56,0.399714286,0.471333333,0.481222222,0.499,0.485555556,0.396079365,0.464,0.350126984,0.375111111,0.435793651
57,0.397111111,0.467888889,0.478888889,0.495,0.503444444,0.376555556,0.472888889,0.369444444,0.369555556,0.436753086
58,0.426111111,0.486,0.491888889,0.503,0.544888889,0.391126984,0.430444444,0.36368254,0.33068254,0.440869489
59,0.529666667,0.492777778,0.524444444,0.547777778,0.5,0.518333333,0.556111111,0.388333333,0.419,0.497382716
Grand Total,0.436220106,0.487,0.530087037,0.541322222,0.492371693,0.37850582,0.43702037,0.355347884,0.358376984,0.446250235
